"River Basin District","Management Catchment","Operational Catchment","Water Body ID","Water Body","Water Body Type","Easting","Northing","Ngr","Hydromorphological designation","Year","Status","Cycle","Classification Level","Classification Item","Classification ID","Certainty","Confidence","Deterioration Type","Linked Reasons","Investigation Outcome"
"South West","South West AWB","Exeter Ship Canal","GB70810015","Exeter ship Canal","Canal","294615","88928","SX9461588928","artificial","2019","Good","3","Element","Hexachlorobenzene","http://environment.data.gov.uk/catchment-planning/data/classification/waterbody/GB70810015/year/2019/item/wbc_31/cycle/3","No Information","0",,,
"South West","South West AWB","Exeter Ship Canal","GB70810015","Exeter ship Canal","Canal","294615","88928","SX9461588928","artificial","2016","Moderate","2","Component","Supporting elements (Surface Water)","http://environment.data.gov.uk/catchment-planning/data/classification/waterbody/GB70810015/year/2016/item/wbc_13/cycle/2","No Information",,,,
"South West","South West AWB","Exeter Ship Canal","GB70810015","Exeter ship Canal","Canal","294615","88928","SX9461588928","artificial","2019","Good","2","Element","Hexachlorobutadiene","http://environment.data.gov.uk/catchment-planning/data/classification/waterbody/GB70810015/year/2019/item/wbc_32/cycle/2","No Information","0",,,
"South West","South West AWB","Exeter Ship Canal","GB70810015","Exeter ship Canal","Canal","294615","88928","SX9461588928","artificial","2019","Good","2","Component","Priority substances","http://environment.data.gov.uk/catchment-planning/data/classification/waterbody/GB70810015/year/2019/item/wbc_10/cycle/2","No Information",,,,
"South West","South West AWB","Exeter Ship Canal","GB70810015","Exeter ship Canal","Canal","294615","88928","SX9461588928","artificial","2015","High","2","Element","Dissolved oxygen","http://environment.data.gov.uk/catchment-planning/data/classification/waterbody/GB70810015/year/2015/item/wbc_69/cycle/2","No Information","0.75",,,
"South West","South West AWB","Exeter Ship Canal","GB70810015","Exeter ship Canal","Canal","294615","88928","SX9461588928","artificial","2019","High","3","Element","Temperature","http://environment.data.gov.uk/catchment-planning/data/classification/waterbody/GB70810015/year/2019/item/wbc_74/cycle/3","No Information","0.66","Face Value Unchanged",,
"South West","South West AWB","Exeter Ship Canal","GB70810015","Exeter ship Canal","Canal","294615","88928","SX9461588928","artificial","2019","Good","3","Element","Fluoranthene","http://environment.data.gov.uk/catchment-planning/data/classification/waterbody/GB70810015/year/2019/item/wbc_30/cycle/3","No Information","0",,,
"South West","South West AWB","Exeter Ship Canal","GB70810015","Exeter ship Canal","Canal","294615","88928","SX9461588928","artificial","2019","Good","2","Element","Hexachlorobenzene","http://environment.data.gov.uk/catchment-planning/data/classification/waterbody/GB70810015/year/2019/item/wbc_31/cycle/2","No Information","0",,,
"South West","South West AWB","Exeter Ship Canal","GB70810015","Exeter ship Canal","Canal","294615","88928","SX9461588928","artificial","2014","High","2","Element","Dissolved oxygen","http://environment.data.gov.uk/catchment-planning/data/classification/waterbody/GB70810015/year/2014/item/wbc_69/cycle/2","No Information","0.82",,,
"South West","South West AWB","Exeter Ship Canal","GB70810015","Exeter ship Canal","Canal","294615","88928","SX9461588928","artificial","2015","Moderate","2","Component","Supporting elements (Surface Water)","http://environment.data.gov.uk/catchment-planning/data/classification/waterbody/GB70810015/year/2015/item/wbc_13/cycle/2","No Information",,,,
